"MUNTY","REGION","PROVINCE","DISTRICT","CD_REFNIS"
"Rouvroy","Wallonia","Luxembourg","Virton",85047
"Anhée","Wallonia","Namur","Dinant",91005
"Beauraing","Wallonia","Namur","Dinant",91013
"Bièvre","Wallonia","Namur","Dinant",91015
"Ciney","Wallonia","Namur","Dinant",91030
"Dinant","Wallonia","Namur","Dinant",91034
"Gedinne","Wallonia","Namur","Dinant",91054
"Hamois","Wallonia","Namur","Dinant",91059
"Havelange","Wallonia","Namur","Dinant",91064
"Houyet","Wallonia","Namur","Dinant",91072
"Onhaye","Wallonia","Namur","Dinant",91103
"Rochefort","Wallonia","Namur","Dinant",91114
"Somme-Leuze","Wallonia","Namur","Dinant",91120
"Yvoir","Wallonia","Namur","Dinant",91141
"Hastière","Wallonia","Namur","Dinant",91142
"Vresse-sur-Semois","Wallonia","Namur","Dinant",91143
"Andenne","Wallonia","Namur","Namur",92003
"Assesse","Wallonia","Namur","Namur",92006
"Eghezée","Wallonia","Namur","Namur",92035
"Floreffe","Wallonia","Namur","Namur",92045
"Fosses-la-Ville","Wallonia","Namur","Namur",92048
"Gesves","Wallonia","Namur","Namur",92054
"Mettet","Wallonia","Namur","Namur",92087
"Namur","Wallonia","Namur","Namur",92094
"Ohey","Wallonia","Namur","Namur",92097
"Profondeville","Wallonia","Namur","Namur",92101
"Sombreffe","Wallonia","Namur","Namur",92114
"Sambreville","Wallonia","Namur","Namur",92137
"Fernelmont","Wallonia","Namur","Namur",92138
"Jemeppe-sur-Sambre","Wallonia","Namur","Namur",92140
"La Bruyère","Wallonia","Namur","Namur",92141
"Gembloux","Wallonia","Namur","Namur",92142
"Cerfontaine","Wallonia","Namur","Philippeville",93010
"Couvin","Wallonia","Namur","Philippeville",93014
"Doische","Wallonia","Namur","Philippeville",93018
"Florennes","Wallonia","Namur","Philippeville",93022
"Philippeville","Wallonia","Namur","Philippeville",93056
"Walcourt","Wallonia","Namur","Philippeville",93088
"Viroinval","Wallonia","Namur","Philippeville",93090
