NIS;Naam;Inwoners
51008;Beloeil;14.032
51009;Bernissart;11.868
51012;Brugelette;3.658
51014;Chièvres;6.899
51017;Elzele;6.001
51019;Vloesberg;3.420
51065;Frasnes-lez-Anvaing;11.740
51067;Edingen;13.734
51068;Opzullik;8.407
51069;Lessen;18.552
52000;Arrondissement Charleroi;396.307
52010;Chapelle-lez-Herlaimont;14.900
52011;Charleroi;201.816
52012;Châtelet;36.101
52015;Courcelles;31.376
52018;Farciennes;11.247
52021;Fleurus;22.738
52022;Fontaine-l’Evêque;17.801
52025;Gerpinnes;12.660
52048;Montigny-le-Tilleul;10.136
52055;Pont-à-Celles;17.287
52074;Aiseau-Presles;10.788
52075;Les Bons Villers;9.457
53000;Arrondissement Bergen;258.608
53014;Boussu;19.856
53020;Dour;16.716
53028;Frameries;21.878
53039;Hensies;6.828
53044;Jurbeke;10.417
53046;Lens;4.508
53053;Bergen;95.299
53065;Quaregnon;19.006
53068;Quiévrain;6.759
53070;Saint-Ghislain;23.335
53082;Colfontaine;20.762
53083;Honnelles;5.139
53084;Quévy;8.105
55000;Arrondissement Zinnik;103.398
55004;’s Gravenbrakel;21.649
55035;Le Roeulx;8.617
55040;Zinnik;27.603
55050;Ecaussinnes;11.135
55085;Seneffe;11.272
55086;Manage;23.122
56000;Arrondissement Thuin;91.580
56001;Anderlues;12.254
56005;Beaumont;7.137
56016;Chimay;9.841
56022;Erquelinnes;9.940
56029;Froidchapelle;3.953
56044;Lobbes;5.862
56049;Merbes-le-Château;4.251
56051;Momignies;5.309
56078;Thuin;14.671
56086;Ham-sur-Heure-Nalinnes;13.529
56088;Sivry-Rance;4.833
57000;Arrondissement Doornik-Moeskroen;223.308
57003;Antoing;7.760
57018;Celles (Doornik);5.665
57027;Estaimpuis;10.424
57062;Pecq;5.598
57064;Péruwelz;17.113
57072;Rumes;5.186
57081;Doornik;69.554
57093;Brunehaut;8.105
57094;Leuze-en-Hainaut;13.886
57095;Mont-de-l’Enclus;3.720
57096;Moeskroen;58.234
57097;Komen-Waasten;18.063
58000;Arrondissement La Louvière;140.969
58001;La Louvière;80.637
58002;Binche;33.598
58003;Estinnes;7.715
58004;Morlanwelz;19.019
60000;Provincie Luik;1.105.326
61000;Arrondissement Hoei;113.097
61003;Amay;14.305
61010;Burdinne;3.236
61012;Clavier;4.617
61019;Ferrières;4.918
61024;Hamoir;3.872
61028;Héron;5.277
61031;Hoei;21.293
61039;Marchin;5.460
61041;Modave;4.200
61043;Nandrin;5.826
61048;Ouffet;2.802
61063;Verlaine;4.177
61068;Villers-Le-Bouillet;6.503
61072;Wanze;13.576
61079;Anthisnes;4.204
61080;Engis;6.122
61081;Tinlot;2.709
62000;Arrondissement Luik;623.953
62003;Ans;28.238
62006;Awans;9.353
62009;Aywaille;12.405
62011;Bitsingen;8.986
62015;Beyne-Heusay;12.019
62022;Chaudfontaine;20.935
62026;Comblain-au-Pont;5.381
62027;Dalhem;7.412
62032;Esneux;12.889
62038;Fléron;16.495
62051;Herstal;39.958
62060;Juprelle;9.288
62063;Luik;197.355
62079;Oupeye;25.297
62093;Saint-Nicolas (Luik);24.251
62096;Seraing;64.270
62099;Soumagne;16.888
62100;Sprimont;14.645
62108;Wezet;17.767
62118;Grâce-Hollogne;22.541
62119;Blegny;13.300
62120;Flémalle;26.174
62121;Neupré;9.934
62122;Trooz;8.172
63000;Arrondissement Verviers;287.374
63001;Amel;5.480
63003;Aubel;4.221
63004;Baelen;4.434
63012;Büllingen;5.473
63013;Bütgenbach;5.605
63020;Dison;15.405
63023;Eupen;19.526
63035;Herve;17.598
63038;Jalhay;8.590
63040;Kelmis;11.061
63045;Lierneux;3.601
63046;Limburg;5.939
63048;Lontzen;5.695
63049;Malmedy;12.654
63057;Olne;4.087
63058;Pepinster;9.765
63061;Raeren;10.707
63067;Sankt Vith;9.682
63072;Spa;10.378
63073;Stavelot;7.145
63075;Stoumont;3.104
63076;Theux;12.025
63079;Verviers;55.198
63080;Weismes;7.429
63084;Welkenraedt;9.920
63086;Trois-Ponts;2.570
63087;Burg-Reuland;3.956
63088;Plombières;10.401
63089;Thimister-Clermont;5.725
64000;Arrondissement Borgworm;80.902
64008;Berloz;3.080
64015;Braives;6.325
64021;Crisnée;3.352
64023;Donceel;3.048
64025;Fexhe-le-Haut-Clocher;3.263
64029;Geer;3.430
64034;Hannuit;16.435
64047;Lijsem;3.292
64056;Oerle;3.912
64063;Remicourt;5.904
64065;Saint-Georges-sur-Meuse;6.784
64074;Borgworm;15.168
64075;Wasseiges;2.962
64076;Faimes;3.947
70000;Provincie Limburg;870.880
71000;Arrondissement Hasselt;416.678
71002;As;8.190
71004;Beringen;46.065
71011;Diepenbeek;19.137
71016;Genk;66.110
71017;Gingelom;8.391
71020;Halen;9.461
71022;Hasselt;77.651
71024;Herk-de-Stad;12.661
71034;Leopoldsburg;15.625
71037;Lummen;14.762
71045;Nieuwerkerken (Hasselt);6.960
71053;Sint-Truiden;40.473
71057;Tessenderlo;18.514
71066;Zonhoven;21.214
71067;Zutendaal;7.234
71069;Ham;10.824
71070;Heusden-Zolder;33.406
72000;Arrondissement Maaseik;250.843
72003;Bocholt;13.085
72004;Bree;16.005
72018;Kinrooi;12.233
72020;Lommel;34.044
72021;Maaseik;25.201
72030;Peer;16.406
72037;Hamont-Achel;14.427
72038;Hechtel-Eksel;12.290
72039;Houthalen-Helchteren;30.623
72041;Dilsen-Stokkem;20.454
72042;Oudsbergen;23.423
72043;Pelt;32.652
73000;Arrondissement Tongeren;203.359
73001;Alken;11.565
73006;Bilzen;32.318
73009;Borgloon;10.697
73022;Heers;7.290
73028;Herstappe;88
73032;Hoeselt;9.685
73040;Kortessem;8.446
73042;Lanaken;25.818
73066;Riemst;16.665
73083;Tongeren;31.032
73098;Wellen;7.402
73107;Maasmechelen;38.193
73109;Voeren;4.160
80000;Provincie Luxemburg;283.227
81000;Arrondissement Aarlen;62.202
81001;Aarlen;29.733
81003;Attert;5.537
81004;Aubange;16.927
81013;Martelange;1.820
81015;Messancy;8.185
82000;Arrondissement Bastenaken;48.183
82003;Bastenaken;15.894
82005;Bertogne;3.579
82009;Fauvillers;2.253
82014;Houffalize;5.222
82032;Vielsalm;7.821
82036;Vaux-sur-Sûre;5.651
82037;Gouvy;5.206
82038;Sainte-Ode;2.557
83000;Arrondissement Marche-en-Famenne;56.143
83012;Durbuy;11.374
83013;Erezée;3.228
83028;Hotton;5.531
83031;La Roche-en-Ardenne;4.194
83034;Marche-en-Famenne;17.455
83040;Nassogne;5.474
83044;Rendeux;2.582
83049;Tenneville;2.842
83055;Manhay;3.463
84000;Arrondissement Neufchâteau;63.041
84009;Bertrix;8.763
84010;Bouillon;5.353
84016;Daverdisse;1.407
84029;Herbeumont;1.627
84033;Léglise;5.366
84035;Libin;5.164
84043;Neufchâteau (Neufchâteau);7.679
84050;Paliseul;5.393
84059;Saint-Hubert;5.571
84068;Tellin;2.468
84075;Wellin;3.064
84077;Libramont-Chevigny;11.186
85000;Arrondissement Virton;53.658
85007;Chiny;5.175
85009;Etalle;5.855
85011;Florenville;5.629
85024;Meix-devant-Virton;2.831
85026;Musson;4.508
85034;Saint-Léger (Virton);3.592
85039;Tintigny;4.276
85045;Virton;11.323
85046;Habay;8.387
85047;Rouvroy;2.082
90000;Provincie Namen;493.073
91000;Arrondissement Dinant;110.610
91005;Anhée;7.117
91013;Beauraing;9.160
91015;Bièvre;3.307
91030;Ciney;16.439
91034;Dinant;13.544
91054;Gedinne;4.563
91059;Hamois;7.349
91064;Havelange;5.130
91072;Houyet;4.876
91103;Onhaye;3.201
91114;Rochefort;12.554
91120;Somme-Leuze;5.587
91141;Yvoir;9.163
91142;Hastière;5.979
91143;Vresse-sur-Semois;2.641
92000;Arrondissement Namen;316.058
92003;Andenne;27.017
92006;Assesse;6.964
92035;Eghezée;16.247
92045;Floreffe;8.114
92048;Fosses-la-Ville;10.449
92054;Gesves;7.210
92087;Mettet;13.037
92094;Namen;110.939
92097;Ohey;5.090
92101;Profondeville;12.204
92114;Sombreffe;8.420
92137;Sambreville;28.211
92138;Fernelmont;7.923
92140;Jemeppe-sur-Sambre;19.074
92141;La Bruyère;9.226
92142;Gembloux;25.933
93000;Arrondissement Philippeville;66.405
93010;Cerfontaine;4.927
93014;Couvin;13.782
93018;Doische;2.951
93022;Florennes;11.410
93056;Philippeville;9.228
93088;Walcourt;18.376
93090;Viroinval;5.731
