"AGEGROUP","SEX","PROVINCE","POPULATION","REGION","CD_PROV_REFNIS"
"20-29","M","Hainaut",82024,"Wallonia",50000
"30-39","M","Hainaut",84664,"Wallonia",50000
"40-49","M","Hainaut",90075,"Wallonia",50000
"50-59","M","Hainaut",91427,"Wallonia",50000
"60-69","M","Hainaut",77367,"Wallonia",50000
"70-79","M","Hainaut",47664,"Wallonia",50000
"80-89","M","Hainaut",19950,"Wallonia",50000
"90+","M","Hainaut",3226,"Wallonia",50000
"All","M","Hainaut",655724,"Wallonia",50000
"0-9","All","Hainaut",148456,"Wallonia",50000
"10-19","All","Hainaut",162476,"Wallonia",50000
"20-29","All","Hainaut",161795,"Wallonia",50000
"30-39","All","Hainaut",169103,"Wallonia",50000
"40-49","All","Hainaut",179322,"Wallonia",50000
"50-59","All","Hainaut",184251,"Wallonia",50000
"60-69","All","Hainaut",163487,"Wallonia",50000
"70-79","All","Hainaut",107636,"Wallonia",50000
"80-89","All","Hainaut",56673,"Wallonia",50000
"90+","All","Hainaut",13641,"Wallonia",50000
"All","All","Hainaut",1346840,"Wallonia",50000
"0-9","F","Liège",60665,"Wallonia",60000
"10-19","F","Liège",63441,"Wallonia",60000
"20-29","F","Liège",68342,"Wallonia",60000
"30-39","F","Liège",71705,"Wallonia",60000
"40-49","F","Liège",70649,"Wallonia",60000
"50-59","F","Liège",76037,"Wallonia",60000
"60-69","F","Liège",68972,"Wallonia",60000
"70-79","F","Liège",48390,"Wallonia",60000
"80-89","F","Liège",30403,"Wallonia",60000
"90+","F","Liège",7823,"Wallonia",60000
"All","F","Liège",566427,"Wallonia",60000
"0-9","M","Liège",62878,"Wallonia",60000
"10-19","M","Liège",66001,"Wallonia",60000
"20-29","M","Liège",69252,"Wallonia",60000
"30-39","M","Liège",71079,"Wallonia",60000
"40-49","M","Liège",71469,"Wallonia",60000
"50-59","M","Liège",76130,"Wallonia",60000
"60-69","M","Liège",65043,"Wallonia",60000
"70-79","M","Liège",40037,"Wallonia",60000
"80-89","M","Liège",18706,"Wallonia",60000
"90+","M","Liège",2778,"Wallonia",60000
"All","M","Liège",543373,"Wallonia",60000
"0-9","All","Liège",123543,"Wallonia",60000
"10-19","All","Liège",129442,"Wallonia",60000
"20-29","All","Liège",137594,"Wallonia",60000
"30-39","All","Liège",142784,"Wallonia",60000
"40-49","All","Liège",142118,"Wallonia",60000
"50-59","All","Liège",152167,"Wallonia",60000
"60-69","All","Liège",134015,"Wallonia",60000
"70-79","All","Liège",88427,"Wallonia",60000
"80-89","All","Liège",49109,"Wallonia",60000
"90+","All","Liège",10601,"Wallonia",60000
"All","All","Liège",1109800,"Wallonia",60000
"0-9","F","Limburg",42888,"Flanders",70000
"10-19","F","Limburg",44677,"Flanders",70000
"20-29","F","Limburg",48125,"Flanders",70000
"30-39","F","Limburg",54497,"Flanders",70000
"40-49","F","Limburg",56911,"Flanders",70000
"50-59","F","Limburg",65208,"Flanders",70000
"60-69","F","Limburg",58089,"Flanders",70000
"70-79","F","Limburg",39361,"Flanders",70000
"80-89","F","Limburg",25379,"Flanders",70000
"90+","F","Limburg",5464,"Flanders",70000
"All","F","Limburg",440599,"Flanders",70000
"0-9","M","Limburg",45010,"Flanders",70000
"10-19","M","Limburg",47304,"Flanders",70000
