"AGEGROUP","SEX","MUNTY","POPULATION","REGION","PROVINCE","DISTRICT","CD_REFNIS"
"20-29","All","Doische",369,"Wallonia","Namur","Philippeville",93018
"30-39","All","Doische",324,"Wallonia","Namur","Philippeville",93018
"40-49","All","Doische",365,"Wallonia","Namur","Philippeville",93018
"50-59","All","Doische",476,"Wallonia","Namur","Philippeville",93018
"60-69","All","Doische",359,"Wallonia","Namur","Philippeville",93018
"70-79","All","Doische",268,"Wallonia","Namur","Philippeville",93018
"80-89","All","Doische",147,"Wallonia","Namur","Philippeville",93018
"90+","All","Doische",29,"Wallonia","Namur","Philippeville",93018
"All","All","Doische",2970,"Wallonia","Namur","Philippeville",93018
"0-9","F","Donceel",148,"Wallonia","Liège","Waremme",64023
"10-19","F","Donceel",166,"Wallonia","Liège","Waremme",64023
"20-29","F","Donceel",186,"Wallonia","Liège","Waremme",64023
"30-39","F","Donceel",194,"Wallonia","Liège","Waremme",64023
"40-49","F","Donceel",214,"Wallonia","Liège","Waremme",64023
"50-59","F","Donceel",250,"Wallonia","Liège","Waremme",64023
"60-69","F","Donceel",197,"Wallonia","Liège","Waremme",64023
"70-79","F","Donceel",103,"Wallonia","Liège","Waremme",64023
"80-89","F","Donceel",50,"Wallonia","Liège","Waremme",64023
"90+","F","Donceel",11,"Wallonia","Liège","Waremme",64023
"All","F","Donceel",1519,"Wallonia","Liège","Waremme",64023
"0-9","M","Donceel",158,"Wallonia","Liège","Waremme",64023
"10-19","M","Donceel",181,"Wallonia","Liège","Waremme",64023
"20-29","M","Donceel",191,"Wallonia","Liège","Waremme",64023
"30-39","M","Donceel",201,"Wallonia","Liège","Waremme",64023
"40-49","M","Donceel",218,"Wallonia","Liège","Waremme",64023
"50-59","M","Donceel",264,"Wallonia","Liège","Waremme",64023
"60-69","M","Donceel",192,"Wallonia","Liège","Waremme",64023
"70-79","M","Donceel",113,"Wallonia","Liège","Waremme",64023
"80-89","M","Donceel",46,"Wallonia","Liège","Waremme",64023
"90+","M","Donceel",5,"Wallonia","Liège","Waremme",64023
"All","M","Donceel",1569,"Wallonia","Liège","Waremme",64023
"0-9","All","Donceel",306,"Wallonia","Liège","Waremme",64023
"10-19","All","Donceel",347,"Wallonia","Liège","Waremme",64023
"20-29","All","Donceel",377,"Wallonia","Liège","Waremme",64023
"30-39","All","Donceel",395,"Wallonia","Liège","Waremme",64023
"40-49","All","Donceel",432,"Wallonia","Liège","Waremme",64023
"50-59","All","Donceel",514,"Wallonia","Liège","Waremme",64023
"60-69","All","Donceel",389,"Wallonia","Liège","Waremme",64023
"70-79","All","Donceel",216,"Wallonia","Liège","Waremme",64023
"80-89","All","Donceel",96,"Wallonia","Liège","Waremme",64023
"90+","All","Donceel",16,"Wallonia","Liège","Waremme",64023
"All","All","Donceel",3088,"Wallonia","Liège","Waremme",64023
"0-9","F","Dour",881,"Wallonia","Hainaut","Mons",53020
"10-19","F","Dour",1016,"Wallonia","Hainaut","Mons",53020
"20-29","F","Dour",1018,"Wallonia","Hainaut","Mons",53020
"30-39","F","Dour",1036,"Wallonia","Hainaut","Mons",53020
"40-49","F","Dour",1092,"Wallonia","Hainaut","Mons",53020
"50-59","F","Dour",1085,"Wallonia","Hainaut","Mons",53020
"60-69","F","Dour",1097,"Wallonia","Hainaut","Mons",53020
"70-79","F","Dour",725,"Wallonia","Hainaut","Mons",53020
"80-89","F","Dour",482,"Wallonia","Hainaut","Mons",53020
"90+","F","Dour",125,"Wallonia","Hainaut","Mons",53020
"All","F","Dour",8557,"Wallonia","Hainaut","Mons",53020
"0-9","M","Dour",889,"Wallonia","Hainaut","Mons",53020
"10-19","M","Dour",1039,"Wallonia","Hainaut","Mons",53020
"20-29","M","Dour",1024,"Wallonia","Hainaut","Mons",53020
"30-39","M","Dour",1022,"Wallonia","Hainaut","Mons",53020
"40-49","M","Dour",1114,"Wallonia","Hainaut","Mons",53020
"50-59","M","Dour",1078,"Wallonia","Hainaut","Mons",53020
"60-69","M","Dour",1003,"Wallonia","Hainaut","Mons",53020
"70-79","M","Dour",539,"Wallonia","Hainaut","Mons",53020
"80-89","M","Dour",214,"Wallonia","Hainaut","Mons",53020
"90+","M","Dour",33,"Wallonia","Hainaut","Mons",53020
"All","M","Dour",7955,"Wallonia","Hainaut","Mons",53020
"0-9","All","Dour",1770,"Wallonia","Hainaut","Mons",53020
"10-19","All","Dour",2055,"Wallonia","Hainaut","Mons",53020
"20-29","All","Dour",2042,"Wallonia","Hainaut","Mons",53020
"30-39","All","Dour",2058,"Wallonia","Hainaut","Mons",53020
"40-49","All","Dour",2206,"Wallonia","Hainaut","Mons",53020
"50-59","All","Dour",2163,"Wallonia","Hainaut","Mons",53020
"60-69","All","Dour",2100,"Wallonia","Hainaut","Mons",53020
"70-79","All","Dour",1264,"Wallonia","Hainaut","Mons",53020
"80-89","All","Dour",696,"Wallonia","Hainaut","Mons",53020
"90+","All","Dour",158,"Wallonia","Hainaut","Mons",53020
"All","All","Dour",16512,"Wallonia","Hainaut","Mons",53020
"0-9","F","Drogenbos",370,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23098
"10-19","F","Drogenbos",374,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23098
"20-29","F","Drogenbos",355,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23098
"30-39","F","Drogenbos",402,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23098
"40-49","F","Drogenbos",418,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23098
"50-59","F","Drogenbos",381,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23098
"60-69","F","Drogenbos",297,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23098
"70-79","F","Drogenbos",187,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23098
"80-89","F","Drogenbos",168,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23098
"90+","F","Drogenbos",55,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23098
"All","F","Drogenbos",3007,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23098
"0-9","M","Drogenbos",369,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23098
"10-19","M","Drogenbos",359,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23098
"20-29","M","Drogenbos",306,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23098
"30-39","M","Drogenbos",368,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23098
"40-49","M","Drogenbos",379,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23098
"50-59","M","Drogenbos",356,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23098
"60-69","M","Drogenbos",259,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23098
"70-79","M","Drogenbos",139,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23098
"80-89","M","Drogenbos",91,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23098
"90+","M","Drogenbos",20,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23098
"All","M","Drogenbos",2646,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23098
"0-9","All","Drogenbos",739,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23098
"10-19","All","Drogenbos",733,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23098
"20-29","All","Drogenbos",661,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23098
"30-39","All","Drogenbos",770,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23098
"40-49","All","Drogenbos",797,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23098
"50-59","All","Drogenbos",737,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23098
"60-69","All","Drogenbos",556,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23098
"70-79","All","Drogenbos",326,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23098
"80-89","All","Drogenbos",259,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23098
"90+","All","Drogenbos",75,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23098
"All","All","Drogenbos",5653,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23098
"0-9","F","Duffel",858,"Flanders","Antwerpen","Mechelen",12009
"10-19","F","Duffel",945,"Flanders","Antwerpen","Mechelen",12009
"20-29","F","Duffel",1024,"Flanders","Antwerpen","Mechelen",12009
"30-39","F","Duffel",1123,"Flanders","Antwerpen","Mechelen",12009
"40-49","F","Duffel",1121,"Flanders","Antwerpen","Mechelen",12009
"50-59","F","Duffel",1286,"Flanders","Antwerpen","Mechelen",12009
"60-69","F","Duffel",1099,"Flanders","Antwerpen","Mechelen",12009
"70-79","F","Duffel",845,"Flanders","Antwerpen","Mechelen",12009
"80-89","F","Duffel",532,"Flanders","Antwerpen","Mechelen",12009
"90+","F","Duffel",160,"Flanders","Antwerpen","Mechelen",12009
"All","F","Duffel",8993,"Flanders","Antwerpen","Mechelen",12009
"0-9","M","Duffel",905,"Flanders","Antwerpen","Mechelen",12009
"10-19","M","Duffel",980,"Flanders","Antwerpen","Mechelen",12009
"20-29","M","Duffel",1027,"Flanders","Antwerpen","Mechelen",12009
"30-39","M","Duffel",1099,"Flanders","Antwerpen","Mechelen",12009
"40-49","M","Duffel",1170,"Flanders","Antwerpen","Mechelen",12009
"50-59","M","Duffel",1250,"Flanders","Antwerpen","Mechelen",12009
"60-69","M","Duffel",1096,"Flanders","Antwerpen","Mechelen",12009
"70-79","M","Duffel",721,"Flanders","Antwerpen","Mechelen",12009
"80-89","M","Duffel",373,"Flanders","Antwerpen","Mechelen",12009
"90+","M","Duffel",50,"Flanders","Antwerpen","Mechelen",12009
"All","M","Duffel",8671,"Flanders","Antwerpen","Mechelen",12009
"0-9","All","Duffel",1763,"Flanders","Antwerpen","Mechelen",12009
"10-19","All","Duffel",1925,"Flanders","Antwerpen","Mechelen",12009
"20-29","All","Duffel",2051,"Flanders","Antwerpen","Mechelen",12009
"30-39","All","Duffel",2222,"Flanders","Antwerpen","Mechelen",12009
"40-49","All","Duffel",2291,"Flanders","Antwerpen","Mechelen",12009
"50-59","All","Duffel",2536,"Flanders","Antwerpen","Mechelen",12009
"60-69","All","Duffel",2195,"Flanders","Antwerpen","Mechelen",12009
"70-79","All","Duffel",1566,"Flanders","Antwerpen","Mechelen",12009
"80-89","All","Duffel",905,"Flanders","Antwerpen","Mechelen",12009
"90+","All","Duffel",210,"Flanders","Antwerpen","Mechelen",12009
"All","All","Duffel",17664,"Flanders","Antwerpen","Mechelen",12009
"0-9","F","Durbuy",523,"Wallonia","Luxembourg","Marche-en-Famenne",83012
"10-19","F","Durbuy",656,"Wallonia","Luxembourg","Marche-en-Famenne",83012
"20-29","F","Durbuy",656,"Wallonia","Luxembourg","Marche-en-Famenne",83012
"30-39","F","Durbuy",620,"Wallonia","Luxembourg","Marche-en-Famenne",83012
"40-49","F","Durbuy",720,"Wallonia","Luxembourg","Marche-en-Famenne",83012
"50-59","F","Durbuy",895,"Wallonia","Luxembourg","Marche-en-Famenne",83012
"60-69","F","Durbuy",846,"Wallonia","Luxembourg","Marche-en-Famenne",83012
"70-79","F","Durbuy",471,"Wallonia","Luxembourg","Marche-en-Famenne",83012
"80-89","F","Durbuy",324,"Wallonia","Luxembourg","Marche-en-Famenne",83012
"90+","F","Durbuy",74,"Wallonia","Luxembourg","Marche-en-Famenne",83012
"All","F","Durbuy",5785,"Wallonia","Luxembourg","Marche-en-Famenne",83012
"0-9","M","Durbuy",568,"Wallonia","Luxembourg","Marche-en-Famenne",83012
"10-19","M","Durbuy",638,"Wallonia","Luxembourg","Marche-en-Famenne",83012
"20-29","M","Durbuy",665,"Wallonia","Luxembourg","Marche-en-Famenne",83012
"30-39","M","Durbuy",637,"Wallonia","Luxembourg","Marche-en-Famenne",83012
"40-49","M","Durbuy",712,"Wallonia","Luxembourg","Marche-en-Famenne",83012
"50-59","M","Durbuy",886,"Wallonia","Luxembourg","Marche-en-Famenne",83012
"60-69","M","Durbuy",828,"Wallonia","Luxembourg","Marche-en-Famenne",83012
"70-79","M","Durbuy",491,"Wallonia","Luxembourg","Marche-en-Famenne",83012
"80-89","M","Durbuy",219,"Wallonia","Luxembourg","Marche-en-Famenne",83012
"90+","M","Durbuy",29,"Wallonia","Luxembourg","Marche-en-Famenne",83012
"All","M","Durbuy",5673,"Wallonia","Luxembourg","Marche-en-Famenne",83012
"0-9","All","Durbuy",1091,"Wallonia","Luxembourg","Marche-en-Famenne",83012
"10-19","All","Durbuy",1294,"Wallonia","Luxembourg","Marche-en-Famenne",83012
"20-29","All","Durbuy",1321,"Wallonia","Luxembourg","Marche-en-Famenne",83012
"30-39","All","Durbuy",1257,"Wallonia","Luxembourg","Marche-en-Famenne",83012
"40-49","All","Durbuy",1432,"Wallonia","Luxembourg","Marche-en-Famenne",83012
"50-59","All","Durbuy",1781,"Wallonia","Luxembourg","Marche-en-Famenne",83012
"60-69","All","Durbuy",1674,"Wallonia","Luxembourg","Marche-en-Famenne",83012
"70-79","All","Durbuy",962,"Wallonia","Luxembourg","Marche-en-Famenne",83012
"80-89","All","Durbuy",543,"Wallonia","Luxembourg","Marche-en-Famenne",83012
"90+","All","Durbuy",103,"Wallonia","Luxembourg","Marche-en-Famenne",83012
"All","All","Durbuy",11458,"Wallonia","Luxembourg","Marche-en-Famenne",83012
"0-9","F","Ecaussinnes",633,"Wallonia","Hainaut","Soignies",55050
"10-19","F","Ecaussinnes",709,"Wallonia","Hainaut","Soignies",55050
"20-29","F","Ecaussinnes",636,"Wallonia","Hainaut","Soignies",55050
"30-39","F","Ecaussinnes",738,"Wallonia","Hainaut","Soignies",55050
"40-49","F","Ecaussinnes",819,"Wallonia","Hainaut","Soignies",55050
"50-59","F","Ecaussinnes",737,"Wallonia","Hainaut","Soignies",55050
"60-69","F","Ecaussinnes",626,"Wallonia","Hainaut","Soignies",55050
"70-79","F","Ecaussinnes",434,"Wallonia","Hainaut","Soignies",55050
"80-89","F","Ecaussinnes",311,"Wallonia","Hainaut","Soignies",55050
"90+","F","Ecaussinnes",81,"Wallonia","Hainaut","Soignies",55050
"All","F","Ecaussinnes",5724,"Wallonia","Hainaut","Soignies",55050
"0-9","M","Ecaussinnes",672,"Wallonia","Hainaut","Soignies",55050
"10-19","M","Ecaussinnes",750,"Wallonia","Hainaut","Soignies",55050
"20-29","M","Ecaussinnes",650,"Wallonia","Hainaut","Soignies",55050
"30-39","M","Ecaussinnes",701,"Wallonia","Hainaut","Soignies",55050
"40-49","M","Ecaussinnes",793,"Wallonia","Hainaut","Soignies",55050
"50-59","M","Ecaussinnes",756,"Wallonia","Hainaut","Soignies",55050
"60-69","M","Ecaussinnes",573,"Wallonia","Hainaut","Soignies",55050
"70-79","M","Ecaussinnes",389,"Wallonia","Hainaut","Soignies",55050
"80-89","M","Ecaussinnes",168,"Wallonia","Hainaut","Soignies",55050
"90+","M","Ecaussinnes",26,"Wallonia","Hainaut","Soignies",55050
"All","M","Ecaussinnes",5478,"Wallonia","Hainaut","Soignies",55050
"0-9","All","Ecaussinnes",1305,"Wallonia","Hainaut","Soignies",55050
"10-19","All","Ecaussinnes",1459,"Wallonia","Hainaut","Soignies",55050
"20-29","All","Ecaussinnes",1286,"Wallonia","Hainaut","Soignies",55050
"30-39","All","Ecaussinnes",1439,"Wallonia","Hainaut","Soignies",55050
"40-49","All","Ecaussinnes",1612,"Wallonia","Hainaut","Soignies",55050
"50-59","All","Ecaussinnes",1493,"Wallonia","Hainaut","Soignies",55050
"60-69","All","Ecaussinnes",1199,"Wallonia","Hainaut","Soignies",55050
"70-79","All","Ecaussinnes",823,"Wallonia","Hainaut","Soignies",55050
"80-89","All","Ecaussinnes",479,"Wallonia","Hainaut","Soignies",55050
"90+","All","Ecaussinnes",107,"Wallonia","Hainaut","Soignies",55050
"All","All","Ecaussinnes",11202,"Wallonia","Hainaut","Soignies",55050
"0-9","F","Edegem",1213,"Flanders","Antwerpen","Antwerpen",11013
"10-19","F","Edegem",1039,"Flanders","Antwerpen","Antwerpen",11013
"20-29","F","Edegem",1229,"Flanders","Antwerpen","Antwerpen",11013
"30-39","F","Edegem",1466,"Flanders","Antwerpen","Antwerpen",11013
"40-49","F","Edegem",1225,"Flanders","Antwerpen","Antwerpen",11013
"50-59","F","Edegem",1561,"Flanders","Antwerpen","Antwerpen",11013
"60-69","F","Edegem",1563,"Flanders","Antwerpen","Antwerpen",11013
"70-79","F","Edegem",1148,"Flanders","Antwerpen","Antwerpen",11013
"80-89","F","Edegem",886,"Flanders","Antwerpen","Antwerpen",11013
"90+","F","Edegem",209,"Flanders","Antwerpen","Antwerpen",11013
"All","F","Edegem",11539,"Flanders","Antwerpen","Antwerpen",11013
"0-9","M","Edegem",1315,"Flanders","Antwerpen","Antwerpen",11013
"10-19","M","Edegem",1164,"Flanders","Antwerpen","Antwerpen",11013
"20-29","M","Edegem",1169,"Flanders","Antwerpen","Antwerpen",11013
"30-39","M","Edegem",1380,"Flanders","Antwerpen","Antwerpen",11013
"40-49","M","Edegem",1219,"Flanders","Antwerpen","Antwerpen",11013
"50-59","M","Edegem",1389,"Flanders","Antwerpen","Antwerpen",11013
"60-69","M","Edegem",1370,"Flanders","Antwerpen","Antwerpen",11013
"70-79","M","Edegem",1008,"Flanders","Antwerpen","Antwerpen",11013
"80-89","M","Edegem",594,"Flanders","Antwerpen","Antwerpen",11013
"90+","M","Edegem",114,"Flanders","Antwerpen","Antwerpen",11013
"All","M","Edegem",10722,"Flanders","Antwerpen","Antwerpen",11013
"0-9","All","Edegem",2528,"Flanders","Antwerpen","Antwerpen",11013
"10-19","All","Edegem",2203,"Flanders","Antwerpen","Antwerpen",11013
"20-29","All","Edegem",2398,"Flanders","Antwerpen","Antwerpen",11013
"30-39","All","Edegem",2846,"Flanders","Antwerpen","Antwerpen",11013
"40-49","All","Edegem",2444,"Flanders","Antwerpen","Antwerpen",11013
"50-59","All","Edegem",2950,"Flanders","Antwerpen","Antwerpen",11013
"60-69","All","Edegem",2933,"Flanders","Antwerpen","Antwerpen",11013
"70-79","All","Edegem",2156,"Flanders","Antwerpen","Antwerpen",11013
"80-89","All","Edegem",1480,"Flanders","Antwerpen","Antwerpen",11013
"90+","All","Edegem",323,"Flanders","Antwerpen","Antwerpen",11013
"All","All","Edegem",22261,"Flanders","Antwerpen","Antwerpen",11013
"0-9","F","Eeklo",960,"Flanders","Oost-Vlaanderen","Eeklo",43005
"10-19","F","Eeklo",1119,"Flanders","Oost-Vlaanderen","Eeklo",43005
"20-29","F","Eeklo",1161,"Flanders","Oost-Vlaanderen","Eeklo",43005
"30-39","F","Eeklo",1199,"Flanders","Oost-Vlaanderen","Eeklo",43005
"40-49","F","Eeklo",1439,"Flanders","Oost-Vlaanderen","Eeklo",43005
"50-59","F","Eeklo",1533,"Flanders","Oost-Vlaanderen","Eeklo",43005
"60-69","F","Eeklo",1327,"Flanders","Oost-Vlaanderen","Eeklo",43005
"70-79","F","Eeklo",1092,"Flanders","Oost-Vlaanderen","Eeklo",43005
"80-89","F","Eeklo",767,"Flanders","Oost-Vlaanderen","Eeklo",43005
"90+","F","Eeklo",202,"Flanders","Oost-Vlaanderen","Eeklo",43005
"All","F","Eeklo",10799,"Flanders","Oost-Vlaanderen","Eeklo",43005
"0-9","M","Eeklo",1039,"Flanders","Oost-Vlaanderen","Eeklo",43005
"10-19","M","Eeklo",1166,"Flanders","Oost-Vlaanderen","Eeklo",43005
"20-29","M","Eeklo",1222,"Flanders","Oost-Vlaanderen","Eeklo",43005
"30-39","M","Eeklo",1206,"Flanders","Oost-Vlaanderen","Eeklo",43005
"40-49","M","Eeklo",1442,"Flanders","Oost-Vlaanderen","Eeklo",43005
"50-59","M","Eeklo",1538,"Flanders","Oost-Vlaanderen","Eeklo",43005
"60-69","M","Eeklo",1269,"Flanders","Oost-Vlaanderen","Eeklo",43005
"70-79","M","Eeklo",957,"Flanders","Oost-Vlaanderen","Eeklo",43005
"80-89","M","Eeklo",575,"Flanders","Oost-Vlaanderen","Eeklo",43005
"90+","M","Eeklo",72,"Flanders","Oost-Vlaanderen","Eeklo",43005
"All","M","Eeklo",10486,"Flanders","Oost-Vlaanderen","Eeklo",43005
"0-9","All","Eeklo",1999,"Flanders","Oost-Vlaanderen","Eeklo",43005
"10-19","All","Eeklo",2285,"Flanders","Oost-Vlaanderen","Eeklo",43005
"20-29","All","Eeklo",2383,"Flanders","Oost-Vlaanderen","Eeklo",43005
"30-39","All","Eeklo",2405,"Flanders","Oost-Vlaanderen","Eeklo",43005
"40-49","All","Eeklo",2881,"Flanders","Oost-Vlaanderen","Eeklo",43005
"50-59","All","Eeklo",3071,"Flanders","Oost-Vlaanderen","Eeklo",43005
"60-69","All","Eeklo",2596,"Flanders","Oost-Vlaanderen","Eeklo",43005
"70-79","All","Eeklo",2049,"Flanders","Oost-Vlaanderen","Eeklo",43005
"80-89","All","Eeklo",1342,"Flanders","Oost-Vlaanderen","Eeklo",43005
"90+","All","Eeklo",274,"Flanders","Oost-Vlaanderen","Eeklo",43005
"All","All","Eeklo",21285,"Flanders","Oost-Vlaanderen","Eeklo",43005
"0-9","F","Eghezée",938,"Wallonia","Namur","Namur",92035
"10-19","F","Eghezée",1039,"Wallonia","Namur","Namur",92035
"20-29","F","Eghezée",906,"Wallonia","Namur","Namur",92035
"30-39","F","Eghezée",1135,"Wallonia","Namur","Namur",92035
"40-49","F","Eghezée",1090,"Wallonia","Namur","Namur",92035
"50-59","F","Eghezée",1136,"Wallonia","Namur","Namur",92035
"60-69","F","Eghezée",956,"Wallonia","Namur","Namur",92035
"70-79","F","Eghezée",627,"Wallonia","Namur","Namur",92035
"80-89","F","Eghezée",427,"Wallonia","Namur","Namur",92035
"90+","F","Eghezée",145,"Wallonia","Namur","Namur",92035
"All","F","Eghezée",8399,"Wallonia","Namur","Namur",92035
"0-9","M","Eghezée",971,"Wallonia","Namur","Namur",92035
"10-19","M","Eghezée",1074,"Wallonia","Namur","Namur",92035
"20-29","M","Eghezée",930,"Wallonia","Namur","Namur",92035
"30-39","M","Eghezée",1094,"Wallonia","Namur","Namur",92035
"40-49","M","Eghezée",1088,"Wallonia","Namur","Namur",92035
"50-59","M","Eghezée",1129,"Wallonia","Namur","Namur",92035
"60-69","M","Eghezée",907,"Wallonia","Namur","Namur",92035
"70-79","M","Eghezée",564,"Wallonia","Namur","Namur",92035
"80-89","M","Eghezée",249,"Wallonia","Namur","Namur",92035
"90+","M","Eghezée",43,"Wallonia","Namur","Namur",92035
"All","M","Eghezée",8049,"Wallonia","Namur","Namur",92035
"0-9","All","Eghezée",1909,"Wallonia","Namur","Namur",92035
"10-19","All","Eghezée",2113,"Wallonia","Namur","Namur",92035
"20-29","All","Eghezée",1836,"Wallonia","Namur","Namur",92035
"30-39","All","Eghezée",2229,"Wallonia","Namur","Namur",92035
"40-49","All","Eghezée",2178,"Wallonia","Namur","Namur",92035
"50-59","All","Eghezée",2265,"Wallonia","Namur","Namur",92035
"60-69","All","Eghezée",1863,"Wallonia","Namur","Namur",92035
"70-79","All","Eghezée",1191,"Wallonia","Namur","Namur",92035
"80-89","All","Eghezée",676,"Wallonia","Namur","Namur",92035
"90+","All","Eghezée",188,"Wallonia","Namur","Namur",92035
"All","All","Eghezée",16448,"Wallonia","Namur","Namur",92035
"0-9","F","Ellezelles",290,"Wallonia","Hainaut","Ath",51017
"10-19","F","Ellezelles",340,"Wallonia","Hainaut","Ath",51017
"20-29","F","Ellezelles",306,"Wallonia","Hainaut","Ath",51017
"30-39","F","Ellezelles",372,"Wallonia","Hainaut","Ath",51017
"40-49","F","Ellezelles",399,"Wallonia","Hainaut","Ath",51017
"50-59","F","Ellezelles",425,"Wallonia","Hainaut","Ath",51017
"60-69","F","Ellezelles",414,"Wallonia","Hainaut","Ath",51017
"70-79","F","Ellezelles",248,"Wallonia","Hainaut","Ath",51017
"80-89","F","Ellezelles",184,"Wallonia","Hainaut","Ath",51017
"90+","F","Ellezelles",56,"Wallonia","Hainaut","Ath",51017
"All","F","Ellezelles",3034,"Wallonia","Hainaut","Ath",51017
"0-9","M","Ellezelles",346,"Wallonia","Hainaut","Ath",51017
"10-19","M","Ellezelles",352,"Wallonia","Hainaut","Ath",51017
"20-29","M","Ellezelles",323,"Wallonia","Hainaut","Ath",51017
"30-39","M","Ellezelles",330,"Wallonia","Hainaut","Ath",51017
"40-49","M","Ellezelles",402,"Wallonia","Hainaut","Ath",51017
"50-59","M","Ellezelles",449,"Wallonia","Hainaut","Ath",51017
"60-69","M","Ellezelles",401,"Wallonia","Hainaut","Ath",51017
"70-79","M","Ellezelles",233,"Wallonia","Hainaut","Ath",51017
"80-89","M","Ellezelles",106,"Wallonia","Hainaut","Ath",51017
"90+","M","Ellezelles",16,"Wallonia","Hainaut","Ath",51017
"All","M","Ellezelles",2958,"Wallonia","Hainaut","Ath",51017
"0-9","All","Ellezelles",636,"Wallonia","Hainaut","Ath",51017
"10-19","All","Ellezelles",692,"Wallonia","Hainaut","Ath",51017
"20-29","All","Ellezelles",629,"Wallonia","Hainaut","Ath",51017
"30-39","All","Ellezelles",702,"Wallonia","Hainaut","Ath",51017
"40-49","All","Ellezelles",801,"Wallonia","Hainaut","Ath",51017
"50-59","All","Ellezelles",874,"Wallonia","Hainaut","Ath",51017
"60-69","All","Ellezelles",815,"Wallonia","Hainaut","Ath",51017
"70-79","All","Ellezelles",481,"Wallonia","Hainaut","Ath",51017
"80-89","All","Ellezelles",290,"Wallonia","Hainaut","Ath",51017
"90+","All","Ellezelles",72,"Wallonia","Hainaut","Ath",51017
"All","All","Ellezelles",5992,"Wallonia","Hainaut","Ath",51017
"0-9","F","Elsene",3978,"Brussels","Brussel","Brussel-Hoofdstad",21009
"10-19","F","Elsene",3145,"Brussels","Brussel","Brussel-Hoofdstad",21009
"20-29","F","Elsene",10232,"Brussels","Brussel","Brussel-Hoofdstad",21009
"30-39","F","Elsene",9225,"Brussels","Brussel","Brussel-Hoofdstad",21009
"40-49","F","Elsene",5893,"Brussels","Brussel","Brussel-Hoofdstad",21009
"50-59","F","Elsene",4592,"Brussels","Brussel","Brussel-Hoofdstad",21009
"60-69","F","Elsene",3437,"Brussels","Brussel","Brussel-Hoofdstad",21009
"70-79","F","Elsene",2390,"Brussels","Brussel","Brussel-Hoofdstad",21009
"80-89","F","Elsene",1374,"Brussels","Brussel","Brussel-Hoofdstad",21009
"90+","F","Elsene",447,"Brussels","Brussel","Brussel-Hoofdstad",21009
"All","F","Elsene",44713,"Brussels","Brussel","Brussel-Hoofdstad",21009
"0-9","M","Elsene",4224,"Brussels","Brussel","Brussel-Hoofdstad",21009
"10-19","M","Elsene",3328,"Brussels","Brussel","Brussel-Hoofdstad",21009
"20-29","M","Elsene",8663,"Brussels","Brussel","Brussel-Hoofdstad",21009
"30-39","M","Elsene",9560,"Brussels","Brussel","Brussel-Hoofdstad",21009
"40-49","M","Elsene",6450,"Brussels","Brussel","Brussel-Hoofdstad",21009
"50-59","M","Elsene",4817,"Brussels","Brussel","Brussel-Hoofdstad",21009
"60-69","M","Elsene",3184,"Brussels","Brussel","Brussel-Hoofdstad",21009
"70-79","M","Elsene",1778,"Brussels","Brussel","Brussel-Hoofdstad",21009
"80-89","M","Elsene",765,"Brussels","Brussel","Brussel-Hoofdstad",21009
"90+","M","Elsene",150,"Brussels","Brussel","Brussel-Hoofdstad",21009
"All","M","Elsene",42919,"Brussels","Brussel","Brussel-Hoofdstad",21009
"0-9","All","Elsene",8202,"Brussels","Brussel","Brussel-Hoofdstad",21009
"10-19","All","Elsene",6473,"Brussels","Brussel","Brussel-Hoofdstad",21009
"20-29","All","Elsene",18895,"Brussels","Brussel","Brussel-Hoofdstad",21009
